Field (Oe),Jc
-0.0,49898784894.535126
100.0,49636872967.39652
200.0,49724330960.818344
300.0,49121820902.949844
400.0,48424640491.13214
500.0,47865303522.30629
600.0,47495372237.59977
700.0,46897973642.44736
800.0,45890820558.715645
900.0,45113199585.34057
1000.0,44314439681.41084
1100.0,43423103101.763084
1200.0,42657055115.300285
1300.0,41890732784.7934
1400.0,41129991189.70958
1500.0,40390727845.445465
1600.0,39667022696.31295
1700.0,38971502787.919975
1800.0,38336121981.82218
1900.0,37672057783.95743
2000.0,36969628737.40161
2100.0,36326652933.03076
2200.0,35732301000.68369
2300.0,35102941324.39553
2400.0,34533027670.71223
2500.0,33932293629.550163
2600.0,33415364474.27555
2700.0,32947506804.991375
2800.0,32421286050.118458
2900.0,31977390167.210964
3000.0,31506673544.20424
3100.0,31040021544.79801
3200.0,30691409680.14884
5224.242,25366052464.21965
7248.485,23147533253.83647
9272.728,21818596265.13493
11296.97,20820027262.150997
13321.21,19928416338.45916
15345.45,19092323985.793728
17369.7,18284777852.873215
19393.94,17489209003.350983
21418.18,16695343974.734118
23442.42,15890093668.287777
25466.67,15073710769.315727
27490.91,14222232769.483274
29515.15,13377172976.366362
31539.39,12592610376.717962
33563.64,11773536740.239862
35587.88,10990132161.2407
37612.12,10198800483.28354
39636.36,9511544828.23958
41660.61,8824872515.268301
43684.85,8180688875.145475
45709.09,7524333022.961465
47733.33,6988603359.129003
49757.57,6452854924.388262
51781.82,5937955193.081858
53806.06,5456180339.224525
55830.3,5000091307.473534
57854.55,4591511444.577726
59878.79,4156479040.168167
61903.03,3730780830.879549
63927.27,3344183867.4529624
65951.52,3050922357.6136966
67975.76,2709619595.8653245
