[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1708683062.546000 2/23/2024, 11:11:02 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 72

INFO, NAME, 
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: WholeLoop_5K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1708686040.453,,-2.546667e+004,4.998302e+000,-8.291791e-002,0.000000e+000,2,9.791456e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.740311e-003,0.000000e+000,0,,0,
1708686170.046,,-2.344242e+004,4.998349e+000,-8.810490e-002,0.000000e+000,2,9.792782e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.272057e-003,0.000000e+000,0,,0,
1708686299.187,,-2.141818e+004,4.998395e+000,-9.383609e-002,0.000000e+000,2,9.793362e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.739357e-003,0.000000e+000,0,,0,
1708686443.265,,-1.939394e+004,4.996527e+000,-9.986997e-002,0.000000e+000,2,9.809159e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,1.121044e-003,0.000000e+000,0,,0,
1708686564.500,,-1.736970e+004,4.998209e+000,-1.074962e-001,0.000000e+000,2,9.795368e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.739357e-003,0.000000e+000,0,,0,
1708686691.453,,-1.534545e+004,4.999189e+000,-1.159674e-001,0.000000e+000,2,9.796070e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.151012e-003,0.000000e+000,0,,0,
1708686818.343,,-1.332121e+004,4.998629e+000,-1.259172e-001,0.000000e+000,2,9.795279e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.712250e-003,0.000000e+000,0,,0,
1708686944.687,,-1.129697e+004,4.998442e+000,-1.380471e-001,0.000000e+000,2,9.793342e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.272057e-003,0.000000e+000,0,,0,
1708687070.218,,-9.272728e+003,4.998676e+000,-1.531692e-001,0.000000e+000,2,9.794305e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.618313e-003,0.000000e+000,0,,0,
1708687189.640,,-7.248485e+003,4.998489e+000,-1.731976e-001,0.000000e+000,2,9.794628e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.803802e-003,0.000000e+000,0,,0,
1708687331.171,,-5.224242e+003,4.996106e+000,-2.006677e-001,0.000000e+000,2,9.805788e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,1.400948e-003,0.000000e+000,0,,0,
1708687456.375,,-3.200000e+003,4.998348e+000,-2.402625e-001,0.000000e+000,2,9.796482e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.522945e-003,0.000000e+000,0,,0,
1708687566.625,,-3.100000e+003,4.998723e+000,-2.426425e-001,0.000000e+000,2,9.796522e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.525330e-003,0.000000e+000,0,,0,
1708687670.281,,-3.000000e+003,4.998443e+000,-2.448556e-001,0.000000e+000,2,9.800303e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.833294e-003,0.000000e+000,0,,0,
1708687780.750,,-2.900000e+003,4.998536e+000,-2.463018e-001,0.000000e+000,2,9.791564e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.085136e-003,0.000000e+000,0,,0,
1708687890.218,,-2.800000e+003,4.998115e+000,-2.496553e-001,0.000000e+000,2,9.799296e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.926277e-003,0.000000e+000,0,,0,
1708688000.859,,-2.700000e+003,4.998536e+000,-2.521026e-001,0.000000e+000,2,9.797853e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.898216e-003,0.000000e+000,0,,0,
1708688110.296,,-2.600000e+003,4.998816e+000,-2.547724e-001,0.000000e+000,2,9.800542e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.712250e-003,0.000000e+000,0,,0,
1708688213.171,,-2.500000e+003,4.998348e+000,-2.570382e-001,0.000000e+000,2,9.801589e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.084660e-003,0.000000e+000,0,,0,
1708688323.343,,-2.400000e+003,4.998769e+000,-2.595841e-001,0.000000e+000,2,9.797989e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.992153e-003,0.000000e+000,0,,0,
1708688433.359,,-2.300000e+003,4.998349e+000,-2.622136e-001,0.000000e+000,2,9.799805e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.272057e-003,0.000000e+000,0,,0,
1708688543.578,,-2.200000e+003,4.998676e+000,-2.647949e-001,0.000000e+000,2,9.798834e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.739834e-003,0.000000e+000,0,,0,
1708688653.062,,-2.100000e+003,4.998302e+000,-2.674506e-001,0.000000e+000,2,9.801096e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.365993e-003,0.000000e+000,0,,0,
1708688762.625,,-2.000000e+003,4.998675e+000,-2.701490e-001,0.000000e+000,2,9.802131e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,1.870155e-003,0.000000e+000,0,,0,
1708688872.015,,-1.900000e+003,4.998816e+000,-2.728664e-001,0.000000e+000,2,9.803925e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.525330e-003,0.000000e+000,0,,0,
1708688980.718,,-1.800000e+003,4.998816e+000,-2.755645e-001,0.000000e+000,2,9.803535e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.898216e-003,0.000000e+000,0,,0,
1708689089.828,,-1.700000e+003,4.998956e+000,-2.782958e-001,0.000000e+000,2,9.803895e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.432346e-003,0.000000e+000,0,,0,
1708689199.234,,-1.600000e+003,4.998536e+000,-2.804559e-001,0.000000e+000,2,9.801201e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.085136e-003,0.000000e+000,0,,0,
1708689309.234,,-1.500000e+003,4.998256e+000,-2.837545e-001,0.000000e+000,2,9.802898e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.459454e-003,0.000000e+000,0,,0,
1708689418.953,,-1.400000e+003,4.998395e+000,-2.866540e-001,0.000000e+000,2,9.799474e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.243996e-003,0.000000e+000,0,,0,
1708689522.140,,-1.300000e+003,4.998862e+000,-2.891056e-001,0.000000e+000,2,9.796202e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.619267e-003,0.000000e+000,0,,0,
1708689631.875,,-1.200000e+003,4.998302e+000,-2.919312e-001,0.000000e+000,2,9.797910e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.926277e-003,0.000000e+000,0,,0,
1708689741.125,,-1.100000e+003,4.998208e+000,-2.945390e-001,0.000000e+000,2,9.797155e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.365040e-003,0.000000e+000,0,,0,
1708689850.906,,-1.000000e+003,4.998535e+000,-2.970777e-001,0.000000e+000,2,9.797979e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.710819e-003,0.000000e+000,0,,0,
1708689960.203,,-9.000000e+002,4.998256e+000,-2.994326e-001,0.000000e+000,2,9.799180e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.459454e-003,0.000000e+000,0,,0,
1708690070.234,,-8.000000e+002,4.998302e+000,-3.017919e-001,0.000000e+000,2,9.805821e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.552437e-003,0.000000e+000,0,,0,
1708690179.968,,-7.000000e+002,4.999050e+000,-3.038335e-001,0.000000e+000,2,9.807091e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.244949e-003,0.000000e+000,0,,0,
1708690289.953,,-6.000000e+002,4.998956e+000,-3.060334e-001,0.000000e+000,2,9.805853e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.618313e-003,0.000000e+000,0,,0,
1708690398.828,,-5.000000e+002,4.998489e+000,-3.078535e-001,0.000000e+000,2,9.808125e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.803802e-003,0.000000e+000,0,,0,
1708690507.578,,-4.000000e+002,4.998536e+000,-3.095087e-001,0.000000e+000,2,9.804534e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.898216e-003,0.000000e+000,0,,0,
1708690617.062,,-3.000000e+002,4.999002e+000,-3.106585e-001,0.000000e+000,2,9.799870e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.525330e-003,0.000000e+000,0,,0,
1708690720.093,,-2.000000e+002,4.998629e+000,-3.115234e-001,0.000000e+000,2,9.801695e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.898216e-003,0.000000e+000,0,,0,
1708690828.781,,-1.000000e+002,4.998489e+000,-3.120528e-001,0.000000e+000,2,9.806894e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.803802e-003,0.000000e+000,0,,0,
1708690937.515,,0.000000e+000,4.998583e+000,-3.118311e-001,0.000000e+000,2,9.809591e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.805233e-003,0.000000e+000,0,,0,
1708691046.984,,1.000000e+002,4.998862e+000,-3.114165e-001,0.000000e+000,2,9.801896e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.056599e-003,0.000000e+000,0,,0,
1708691149.250,,2.000000e+002,4.998115e+000,-3.104251e-001,0.000000e+000,2,9.813322e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.551960e-003,0.000000e+000,0,,0,
1708691258.562,,3.000000e+002,4.998348e+000,-3.089489e-001,0.000000e+000,2,9.812067e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.896786e-003,0.000000e+000,0,,0,
1708691361.703,,4.000000e+002,4.998302e+000,-3.072062e-001,0.000000e+000,2,9.813485e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.365993e-003,0.000000e+000,0,,0,
1708691471.312,,5.000000e+002,4.998348e+000,-3.049592e-001,0.000000e+000,2,9.813389e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.522945e-003,0.000000e+000,0,,0,
1708691580.468,,6.000000e+002,4.998629e+000,-3.026244e-001,0.000000e+000,2,9.815919e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.898216e-003,0.000000e+000,0,,0,
1708691689.812,,7.000000e+002,4.998161e+000,-2.998717e-001,0.000000e+000,2,9.815571e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.458977e-003,0.000000e+000,0,,0,
1708691799.937,,8.000000e+002,4.998209e+000,-2.967488e-001,0.000000e+000,2,9.816858e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.926277e-003,0.000000e+000,0,,0,
1708691909.296,,9.000000e+002,4.998443e+000,-2.937145e-001,0.000000e+000,2,9.819371e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.833294e-003,0.000000e+000,0,,0,
1708692012.015,,1.000000e+003,4.998442e+000,-2.906402e-001,0.000000e+000,2,9.820909e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.645897e-003,0.000000e+000,0,,0,
1708692121.093,,1.100000e+003,4.998302e+000,-2.872678e-001,0.000000e+000,2,9.819805e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.177643e-003,0.000000e+000,0,,0,
1708692230.890,,1.200000e+003,4.998956e+000,-2.839042e-001,0.000000e+000,2,9.819325e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.432346e-003,0.000000e+000,0,,0,
1708692339.453,,1.300000e+003,4.998395e+000,-2.806357e-001,0.000000e+000,2,9.820406e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.990723e-003,0.000000e+000,0,,0,
1708692448.687,,1.400000e+003,4.998909e+000,-2.771570e-001,0.000000e+000,2,9.828496e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.458977e-003,0.000000e+000,0,,0,
1708692558.515,,1.500000e+003,4.998722e+000,-2.739231e-001,0.000000e+000,2,9.820685e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.150059e-003,0.000000e+000,0,,0,
1708692662.031,,1.600000e+003,4.998722e+000,-2.708632e-001,0.000000e+000,2,9.821716e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.337933e-003,0.000000e+000,0,,0,
1708692771.953,,1.700000e+003,4.998488e+000,-2.676535e-001,0.000000e+000,2,9.819092e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.616882e-003,0.000000e+000,0,,0,
1708692881.125,,1.800000e+003,4.998115e+000,-2.646604e-001,0.000000e+000,2,9.819024e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.551960e-003,0.000000e+000,0,,0,
1708692992.109,,1.900000e+003,4.998630e+000,-2.614806e-001,0.000000e+000,2,9.819611e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.085136e-003,0.000000e+000,0,,0,
1708693101.015,,2.000000e+003,4.998862e+000,-2.584815e-001,0.000000e+000,2,9.819738e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.431393e-003,0.000000e+000,0,,0,
1708693210.812,,2.100000e+003,4.998161e+000,-2.555657e-001,0.000000e+000,2,9.818669e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.458977e-003,0.000000e+000,0,,0,
1708693321.156,,2.200000e+003,4.998816e+000,-2.526524e-001,0.000000e+000,2,9.817675e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.338409e-003,0.000000e+000,0,,0,
1708693430.656,,2.300000e+003,4.998209e+000,-2.501166e-001,0.000000e+000,2,9.815671e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.553391e-003,0.000000e+000,0,,0,
1708693534.796,,2.400000e+003,4.998629e+000,-2.472920e-001,0.000000e+000,2,9.818121e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.712250e-003,0.000000e+000,0,,0,
1708693644.406,,2.500000e+003,4.998676e+000,-2.447326e-001,0.000000e+000,2,9.815856e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.992153e-003,0.000000e+000,0,,0,
1708693747.703,,2.600000e+003,4.998630e+000,-2.421715e-001,0.000000e+000,2,9.815641e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.085136e-003,0.000000e+000,0,,0,
1708693851.234,,2.700000e+003,4.998115e+000,-2.396507e-001,0.000000e+000,2,9.816210e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.177166e-003,0.000000e+000,0,,0,
1708693955.281,,2.800000e+003,4.998302e+000,-2.371449e-001,0.000000e+000,2,9.813275e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.740311e-003,0.000000e+000,0,,0,
1708694059.531,,2.900000e+003,4.998396e+000,-2.347726e-001,0.000000e+000,2,9.815394e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.179073e-003,0.000000e+000,0,,0,
1708694170.000,,3.000000e+003,4.998536e+000,-2.324962e-001,0.000000e+000,2,9.815273e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.085136e-003,0.000000e+000,0,,0,
1708694280.703,,3.100000e+003,4.998536e+000,-2.301613e-001,0.000000e+000,2,9.813142e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.085136e-003,0.000000e+000,0,,0,
1708694390.671,,3.200000e+003,4.998535e+000,-2.279004e-001,0.000000e+000,2,9.811626e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.710819e-003,0.000000e+000,0,,0,
1708694516.437,,5.224242e+003,4.998862e+000,-1.907137e-001,0.000000e+000,2,9.810520e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.619267e-003,0.000000e+000,0,,0,
1708694636.234,,7.248485e+003,4.998816e+000,-1.649838e-001,0.000000e+000,2,9.814011e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.525330e-003,0.000000e+000,0,,0,
1708694762.203,,9.272728e+003,4.998396e+000,-1.463626e-001,0.000000e+000,2,9.813107e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.365040e-003,0.000000e+000,0,,0,
1708694888.718,,1.129697e+004,4.998302e+000,-1.321726e-001,0.000000e+000,2,9.814019e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.365993e-003,0.000000e+000,0,,0,
1708695015.562,,1.332121e+004,4.998302e+000,-1.208936e-001,0.000000e+000,2,9.818341e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.740311e-003,0.000000e+000,0,,0,
1708695136.031,,1.534545e+004,4.998442e+000,-1.114861e-001,0.000000e+000,2,9.817969e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.709866e-003,0.000000e+000,0,,0,
1708695264.515,,1.736970e+004,4.998209e+000,-1.034386e-001,0.000000e+000,2,9.820214e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.553391e-003,0.000000e+000,0,,0,
1708695393.609,,1.939394e+004,4.998956e+000,-9.655923e-002,0.000000e+000,2,9.821316e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.058029e-003,0.000000e+000,0,,0,
1708695523.265,,2.141818e+004,4.998161e+000,-9.050816e-002,0.000000e+000,2,9.822891e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.271103e-003,0.000000e+000,0,,0,
