Field (Oe),Jc
0.0,41895165974.12226
100.0,41777480111.49684
200.0,41473847270.11006
300.0,41018579740.09994
400.0,40484434115.12467
500.0,39815685603.59979
600.0,39126359920.49427
700.0,38426468271.070465
800.0,37728342929.83626
900.0,37021456189.85653
1000.0,36301306197.04516
1100.0,35618765177.88813
1200.0,34957228560.090454
1300.0,34307412066.669975
1400.0,33729657121.44682
1500.0,33156129838.06375
1600.0,32572814529.15349
1700.0,32071820659.69348
1800.0,31549344146.584534
1900.0,31064208791.447754
2000.0,30597099982.34707
2100.0,30152411171.782948
2200.0,29705261007.568344
2300.0,29284975306.901684
2400.0,28863784134.166714
2500.0,28520049082.65578
2600.0,28124785018.58113
2700.0,27749874946.35197
2800.0,27416552823.626656
2900.0,27075929535.28007
3000.0,26740904870.00377
3100.0,26412154743.56706
3200.0,26100927414.621384
5224.242,21572655224.41757
7248.485,19064427452.984406
9272.728,17642536607.229427
11296.97,16601186339.593199
13321.21,15725161243.190672
15345.45,14938465429.922056
17369.7,14177384273.684555
19393.94,13449282705.738054
21418.18,12741227141.602535
23442.42,12014690382.427616
25466.67,11358682883.15413
27490.91,10702075986.87768
29515.15,10086038702.856413
31539.39,9481088988.077295
33563.64,8932617137.074703
35587.88,8402798648.335772
37612.12,7901546528.039386
39636.36,7433991359.468402
41660.61,6996164369.275504
43684.85,6574871809.175135
45709.09,6187160784.994275
47733.33,5831550658.604318
49757.57,5484413710.273348
51781.82,5167501674.645264
53806.06,4862413063.7289295
55830.3,4581973698.075101
57854.55,4310254283.501694
59878.79,4070805383.317901
61903.03,3824897661.598927
63927.27,3604899831.8178525
65951.52,3388087733.3419175
67975.76,3190530307.1017704
