Field (Oe),Jc
0.0,49898784894.535126
100.0,49708483982.48246
200.0,49589425886.93026
300.0,49339361290.747986
400.0,48553141797.46492
500.0,47938806067.38039
600.0,47426295295.131546
700.0,46752997254.30935
800.0,45870374707.8513
900.0,45231925580.20784
1000.0,44420726339.75295
1100.0,43441289224.0538
1200.0,42757457815.85481
1300.0,41913864319.45772
1400.0,41154256198.45077
1500.0,40377284987.28537
1600.0,39685945215.77462
1700.0,39027107993.90767
1800.0,38292660109.57524
1900.0,37485655445.16279
2000.0,36969347173.77741
2100.0,36325158479.94852
2200.0,35657715518.593475
2300.0,35025172007.47791
2400.0,34434747526.709305
2500.0,33925240099.785168
2600.0,33409906471.714306
2700.0,32897677263.089653
2800.0,32424888620.592083
2900.0,31941039581.369877
3000.0,31507554332.977345
3100.0,31086739447.67342
3200.0,30670776120.201706
5224.242,25356818621.262203
7248.485,23101544528.551918
9272.728,21780736787.051384
11296.97,20781185921.172836
13321.21,19901256278.09487
15345.45,19078216926.263737
17369.7,18280864840.454967
19393.94,17486205658.02628
21418.18,16696224763.507227
23442.42,15836170624.46512
25466.67,15083825401.046284
27490.91,14241911178.982193
29515.15,13369288472.931
31539.39,12600168555.13247
33563.64,11799265879.826845
35587.88,11010121012.684238
37612.12,10198729009.440477
39636.36,9536278387.729746
41660.61,8851537312.437212
43684.85,8208765100.225397
45709.09,7607945868.018061
47733.33,7022680499.194248
49757.57,6479529107.0113125
51781.82,5965837211.456888
53806.06,5484706344.145142
55830.3,5033725887.2781925
57854.55,4599803132.331151
59878.79,4194666287.188593
61903.03,3716371992.90107
63927.27,3436668854.5036235
65951.52,3084792295.729858
67975.76,2757510680.508194
